image_path,label,caption
water_070.jpg,Label.WATER,A kayaker wearing a blue wetsuit and black helmet paddles his yellow kayak in murky rolling rapids .
water_070_spatial.jpg,Label.WATER,A kayaker wearing a blue wetsuit and black helmet paddles his yellow kayak in murky rolling rapids .
water_070_color.jpg,Label.WATER,A kayaker wearing a blue wetsuit and black helmet paddles his yellow kayak in murky rolling rapids .
water_084.jpg,Label.WATER,A woman is walking past an artificial waterfall .
water_084_spatial.jpg,Label.WATER,A woman is walking past an artificial waterfall .
water_084_color.jpg,Label.WATER,A woman is walking past an artificial waterfall .
water_048.jpg,Label.WATER,A young boy casting his fishing line off a pier
water_048_spatial.jpg,Label.WATER,A young boy casting his fishing line off a pier
water_048_color.jpg,Label.WATER,A young boy casting his fishing line off a pier
water_083.jpg,Label.WATER,children playing at the beach
water_083_spatial.jpg,Label.WATER,children playing at the beach
water_083_color.jpg,Label.WATER,children playing at the beach
water_077.jpg,Label.WATER,A child swims with a woman .
water_077_spatial.jpg,Label.WATER,A child swims with a woman .
water_077_color.jpg,Label.WATER,A child swims with a woman .
water_041.jpg,Label.WATER,A boy is jumping from a body board into the ocean .
water_041_spatial.jpg,Label.WATER,A boy is jumping from a body board into the ocean .
water_041_color.jpg,Label.WATER,A boy is jumping from a body board into the ocean .
water_079.jpg,Label.WATER,A man maneuvers a motorcycle through a rocky stream .
water_079_spatial.jpg,Label.WATER,A man maneuvers a motorcycle through a rocky stream .
water_079_color.jpg,Label.WATER,A man maneuvers a motorcycle through a rocky stream .
water_046.jpg,Label.WATER,A backpacker walks down a rocky mountain .
water_046_spatial.jpg,Label.WATER,A backpacker walks down a rocky mountain .
water_046_color.jpg,Label.WATER,A backpacker walks down a rocky mountain .
water_012.jpg,Label.WATER,A boy is jumping on an inflatable ring and a girl is watching him
water_012_spatial.jpg,Label.WATER,A boy is jumping on an inflatable ring and a girl is watching him
water_012_color.jpg,Label.WATER,A boy is jumping on an inflatable ring and a girl is watching him
water_015.jpg,Label.WATER,a boy smiles underwater .
water_015_spatial.jpg,Label.WATER,a boy smiles underwater .
water_015_color.jpg,Label.WATER,a boy smiles underwater .
water_023.jpg,Label.WATER,A man in a brown shirt sitting on a dock and reading .
water_023_spatial.jpg,Label.WATER,A man in a brown shirt sitting on a dock and reading .
water_023_color.jpg,Label.WATER,A man in a brown shirt sitting on a dock and reading .
water_024.jpg,Label.WATER,A boy in a wetsuit jumps into a pool with a bald man .
water_024_spatial.jpg,Label.WATER,A boy in a wetsuit jumps into a pool with a bald man .
water_024_color.jpg,Label.WATER,A boy in a wetsuit jumps into a pool with a bald man .
water_078.jpg,Label.WATER,a man in red shorts is walking along rocks by a river carrying a stick .
water_078_spatial.jpg,Label.WATER,a man in red shorts is walking along rocks by a river carrying a stick .
water_078_color.jpg,Label.WATER,a man in red shorts is walking along rocks by a river carrying a stick .
water_047.jpg,Label.WATER,A blond boy in a blue tee shirts stands smiling before a craft of green nylon fabric .
water_047_spatial.jpg,Label.WATER,A blond boy in a blue tee shirts stands smiling before a craft of green nylon fabric .
water_047_color.jpg,Label.WATER,A blond boy in a blue tee shirts stands smiling before a craft of green nylon fabric .
water_040.jpg,Label.WATER,a boy in blue shirt splashing in water under a dock
water_040_spatial.jpg,Label.WATER,a boy in blue shirt splashing in water under a dock
water_040_color.jpg,Label.WATER,a boy in blue shirt splashing in water under a dock
water_049.jpg,Label.WATER,A firefighter extinguishes a fire under the hood of a car .
water_049_spatial.jpg,Label.WATER,A firefighter extinguishes a fire under the hood of a car .
water_049_color.jpg,Label.WATER,A firefighter extinguishes a fire under the hood of a car .
water_076.jpg,Label.WATER,"A dark haired woman wearing a brown jacket and fatigue bottoms and a balding man wearing a green sweater and blue jeans with a fishing pole , stand at the foot of the surf ."
water_076_spatial.jpg,Label.WATER,"A dark haired woman wearing a brown jacket and fatigue bottoms and a balding man wearing a green sweater and blue jeans with a fishing pole , stand at the foot of the surf ."
water_076_color.jpg,Label.WATER,"A dark haired woman wearing a brown jacket and fatigue bottoms and a balding man wearing a green sweater and blue jeans with a fishing pole , stand at the foot of the surf ."
water_082.jpg,Label.WATER,A man in a blue shirt is spraying a sand sculpture .
water_082_spatial.jpg,Label.WATER,A man in a blue shirt is spraying a sand sculpture .
water_082_color.jpg,Label.WATER,A man in a blue shirt is spraying a sand sculpture .
water_085.jpg,Label.WATER,A brown dog playing in mud .
water_085_spatial.jpg,Label.WATER,A brown dog playing in mud .
water_085_color.jpg,Label.WATER,A brown dog playing in mud .
water_071.jpg,Label.WATER,"A boy stands on a rock in a creek , holding a stick ."
water_071_spatial.jpg,Label.WATER,"A boy stands on a rock in a creek , holding a stick ."
water_071_color.jpg,Label.WATER,"A boy stands on a rock in a creek , holding a stick ."
water_025.jpg,Label.WATER,The kids play in the wooded area near the water .
water_025_spatial.jpg,Label.WATER,The kids play in the wooded area near the water .
water_025_color.jpg,Label.WATER,The kids play in the wooded area near the water .
water_022.jpg,Label.WATER,"Two blonde boys , one in a camouflage shirt and the other in blue , are having a water fight ."
water_022_spatial.jpg,Label.WATER,"Two blonde boys , one in a camouflage shirt and the other in blue , are having a water fight ."
water_022_color.jpg,Label.WATER,"Two blonde boys , one in a camouflage shirt and the other in blue , are having a water fight ."
water_014.jpg,Label.WATER,A boy jumping in a fountain .
water_014_spatial.jpg,Label.WATER,A boy jumping in a fountain .
water_014_color.jpg,Label.WATER,A boy jumping in a fountain .
water_013.jpg,Label.WATER,A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .
water_013_spatial.jpg,Label.WATER,A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .
water_013_color.jpg,Label.WATER,A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .
water_150.jpg,Label.WATER,A long haired man walking away beside a canal whist holding onto a railing .
water_150_spatial.jpg,Label.WATER,A long haired man walking away beside a canal whist holding onto a railing .
water_150_color.jpg,Label.WATER,A long haired man walking away beside a canal whist holding onto a railing .
water_103.jpg,Label.WATER,A girl in a yellow bathing suit from a cliff looks at a person in the water .
water_103_spatial.jpg,Label.WATER,A girl in a yellow bathing suit from a cliff looks at a person in the water .
water_103_color.jpg,Label.WATER,A girl in a yellow bathing suit from a cliff looks at a person in the water .
water_104.jpg,Label.WATER,A dog swims towards a waterfall .
water_104_spatial.jpg,Label.WATER,A dog swims towards a waterfall .
water_104_color.jpg,Label.WATER,A dog swims towards a waterfall .
water_132.jpg,Label.WATER,"A boy holding a hose next to a man while another boy watches on , held by a woman ."
water_132_spatial.jpg,Label.WATER,"A boy holding a hose next to a man while another boy watches on , held by a woman ."
water_132_color.jpg,Label.WATER,"A boy holding a hose next to a man while another boy watches on , held by a woman ."
water_135.jpg,Label.WATER,A paraglider soars near a cliff and over a body of water .
